date	location	assignment	species	group	treatment	non_dedup	dedup	all_reads
250127	BoDT	HPIV4	HPIV4	Mononegavirales	Filtration, CP, Qiagen | cDNA input: = 44.17 ng	1	1	131889
250127	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	Filtration, CP, Qiagen | cDNA input: = 1009.6 ng	2	2	395488
250127	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	Filtration, Qiagen | cDNA input: = 44.64 ng	1	1	161683
250127	BoDT	Rhinovirus B37	Rhinovirus B	Rhinoviruses	Filtration, CP, Qiagen | cDNA input: = 1009.6 ng	19	18	395488
250127	BoDT	Rhinovirus B37	Rhinovirus B	Rhinoviruses	Filtration, Qiagen | cDNA input: = 44.64 ng	4	4	161683
250127	BoDT	Rhinovirus B37	Rhinovirus B	Rhinoviruses	Filtration, CP, Qiagen | cDNA input: = 44.17 ng	3	3	131889
250127	BoDT	Rhinovirus A34	Rhinovirus A	Rhinoviruses	Filtration, CP, Qiagen | cDNA input: = 1009.6 ng	5	5	395488
250127	BoDT	HPIV4	HPIV4	Mononegavirales	Filtration, CP, Qiagen | cDNA input: = 1009.6 ng	1	1	395488
250127	BoDT	HPIV4	HPIV4	Mononegavirales	Filtration, Qiagen | cDNA input: = 44.64 ng	1	1	161683
250127	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	Filtration, CP, Qiagen	5	5	128548
250127	BoDT	Rhinovirus B37	Rhinovirus B	Rhinoviruses	Filtration, CP, Qiagen	2	2	128548
250127	BoDT	Rhinovirus A34	Rhinovirus A	Rhinoviruses	Filtration, CP, Qiagen	2	2	128548
250129	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	Filtration, CP, Qiagen | cDNA input: = 30.6 ng	52	34	351910
250129	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	Filtration, Qiagen | cDNA input: = < 32 ng	96	88	599313
250129	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	Filtration, CP, Qiagen | cDNA input: = 816 ng	43	39	287006
250129	BoDT	Human coronavirus NL63	HCoV-NL63	Coronaviruses (seasonal)	Filtration, Qiagen | cDNA input: = < 32 ng	3	3	599313
250129	BoDT	Rhinovirus C42	Rhinovirus C	Rhinoviruses	Filtration, CP, Qiagen | cDNA input: = 816 ng	1	1	287006
250129	BoDT	Rhinovirus C36	Rhinovirus C	Rhinoviruses	Filtration, Qiagen | cDNA input: = < 32 ng	41	36	599313
250129	BoDT	Rhinovirus C36	Rhinovirus C	Rhinoviruses	Filtration, CP, Qiagen | cDNA input: = 816 ng	43	39	287006
250129	BoDT	Rhinovirus C36	Rhinovirus C	Rhinoviruses	Filtration, CP, Qiagen | cDNA input: = 30.6 ng	4	4	351910
250129	BoDT	Human coronavirus 229E	HCoV-229E	Coronaviruses (seasonal)	Filtration, Qiagen | cDNA input: = < 32 ng	3696	3215	599313
250129	BoDT	Human coronavirus 229E	HCoV-229E	Coronaviruses (seasonal)	Filtration, CP, Qiagen | cDNA input: = 816 ng	1636	1530	287006
250129	BoDT	Human coronavirus 229E	HCoV-229E	Coronaviruses (seasonal)	Filtration, CP, Qiagen | cDNA input: = 30.6 ng	1820	1215	351910
250204	BoDT	Human coronavirus OC43	HCoV-OC43	Coronaviruses (seasonal)	Filtration, CP, Qiagen | cDNA input: = 771.2 ng	3	3	283834
250204	BoDT	Rhinovirus C2	Rhinovirus C	Rhinoviruses	Filtration, CP, Qiagen | cDNA input: = 771.2 ng	7	7	283834
250204	BoDT	Rhinovirus C2	Rhinovirus C	Rhinoviruses	Filtration, CP, Qiagen | cDNA input: = 33.74 ng	3	3	240475
250204	BoDT	Rhinovirus C2	Rhinovirus C	Rhinoviruses	Filtration, Qiagen | cDNA input: = < 32 ng	1	1	136929
250204	BoDT	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	Coronaviruses (SARS-CoV-2)	Filtration, CP, Qiagen | cDNA input: = 771.2 ng	43	43	283834
250204	BoDT	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	Coronaviruses (SARS-CoV-2)	Filtration, CP, Qiagen | cDNA input: = 33.74 ng	25	21	240475
250204	BoDT	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	Coronaviruses (SARS-CoV-2)	Filtration, Qiagen | cDNA input: = < 32 ng	14	14	136929
250205	BoDT	Rhinovirus A34	Rhinovirus A	Rhinoviruses	Filtration, CP, Qiagen | DNAse	1	1	149289
250212	BoDT	H1N1	H1N1	Influenza	Filtration, CP, Qiagen | DNAse	1	1	202226
